id,name,level,jiangxinLV,yelinglong,suiyin,props,deco,texiao
10100, 纳海, 0, 0, 0, 0, 空, 空, 空
10101, 纳海, 1, 14, 40, 600000, 纳海：全基础属性+12, 空, 空
10102, 纳海, 2, 18, 90, 1350000, 纳海：全基础属性+17, 空, 空
10103, 纳海, 3, 21, 150, 2250000, 纳海：全基础属性+21, 空, 空
10104, 纳海, 4, 23, 200, 3000000, 纳海：全基础属性+26, 空, 空
10105, 纳海, 5, 24, 0, 0, 纳海：全基础属性+30, 空, 空
10200, 朝山, 0, 0, 0, 0, 空, 空, 空
10201, 朝山, 1, 0, 30, 450000, 朝山：气血上限+400, 空, 空
10202, 朝山, 2, 18, 60, 900000, 朝山：气血上限+550, 空, 空
10203, 朝山, 3, 21, 100, 1500000, 朝山：气血上限+700, 空, 空
10204, 朝山, 4, 23, 150, 2250000, 朝山：气血上限+850, 空, 空
10205, 朝山, 5, 24, 0, 0, 朝山：气血上限+1000, 空, 空
10300, 烈光, 0, 0, 0, 0, 空, 空, 空
10301, 烈光, 1, 14, 60, 900000, 烈光：外功攻击+120, 空, 空
10302, 烈光, 2, 18, 120, 1800000, 烈光：外功攻击+165, 空, 空
10303, 烈光, 3, 23, 200, 3000000, 烈光：外功攻击+210, 空, 空
10304, 烈光, 4, 24, 300, 4500000, 烈光：外功攻击+255, 空, 空
10305, 烈光, 5, 25, 0, 0, 烈光：外功攻击+300, 空, 空
10400, 寒宸, 0, 0, 0, 0, 空, 空, 空
10401, 寒宸, 1, 14, 60, 900000, 寒宸：内功攻击+80, 空, 空
10402, 寒宸, 2, 18, 120, 1800000, 寒宸：内功攻击+110, 空, 空
10403, 寒宸, 3, 23, 200, 3000000, 寒宸：内功攻击+140, 空, 空
10404, 寒宸, 4, 24, 300, 4500000, 寒宸：内功攻击+170, 空, 空
10405, 寒宸, 5, 25, 0, 0, 寒宸：内功攻击+200, 空, 空
10500, 灵焰, 0, 0, 0, 0, 空, 空, 空
10501, 灵焰, 1, 14, 60, 900000, 灵焰：会心伤害+12%, 空, 空
10502, 灵焰, 2, 18, 120, 1800000, 灵焰：会心伤害+16.5%, 空, 空
10503, 灵焰, 3, 23, 200, 3000000, 灵焰：会心伤害+21%, 空, 空
10504, 灵焰, 4, 24, 300, 4500000, 灵焰：会心伤害+25.5%, 空, 空
10505, 灵焰, 5, 25, 0, 0, 灵焰：会心伤害+30%, 空, 空
10600, 心芒, 0, 0, 0, 0, 空, 空, 空
10601, 心芒, 1, 14, 60, 900000, 心芒：会心率+4%, 空, 空
10602, 心芒, 2, 18, 120, 1800000, 心芒：会心率+5.5%, 空, 空
10603, 心芒, 3, 23, 200, 3000000, 心芒：会心率+7%, 空, 空
10604, 心芒, 4, 24, 300, 4500000, 心芒：会心率+8.5%, 空, 空
10605, 心芒, 5, 25, 0, 0, 心芒：会心率+10%, 空, 空
10700, 薄魄, 0, 0, 0, 0, 空, 空, 空
10701, 薄魄, 1, 14, 60, 900000, 薄魄：内功免伤+20, 空, 空
10702, 薄魄, 2, 18, 120, 1800000, 薄魄：内功免伤+28, 空, 空
10703, 薄魄, 3, 23, 200, 3000000, 薄魄：内功免伤+35, 空, 空
10704, 薄魄, 4, 24, 300, 4500000, 薄魄：内功免伤+42, 空, 空
10705, 薄魄, 5, 25, 0, 0, 薄魄：内功免伤+50, 空, 空
10800, 孤魂, 0, 0, 0, 0, 空, 空, 空
10801, 孤魂, 1, 14, 60, 900000, 孤魂：外功免伤+60, 空, 空
10802, 孤魂, 2, 18, 120, 1800000, 孤魂：外功免伤+83, 空, 空
10803, 孤魂, 3, 23, 200, 3000000, 孤魂：外功免伤+105, 空, 空
10804, 孤魂, 4, 24, 300, 4500000, 孤魂：外功免伤+128, 空, 空
10805, 孤魂, 5, 25, 0, 0, 孤魂：外功免伤+150, 空, 空
10900, 柔念, 0, 0, 0, 0, 空, 空, 空
10901, 柔念, 1, 14, 60, 900000, 柔念：韧劲+4%, 空, 空
10902, 柔念, 2, 18, 120, 1800000, 柔念：韧劲+5.5%, 空, 空
10903, 柔念, 3, 23, 200, 3000000, 柔念：韧劲+7%, 空, 空
10904, 柔念, 4, 24, 300, 4500000, 柔念：韧劲+8.5%, 空, 空
10905, 柔念, 5, 25, 0, 0, 柔念：韧劲+10%, 空, 空
11000, 逐风, 0, 0, 0, 0, 空, 空, 空
11001, 逐风, 1, 14, 60, 900000, 逐风：外功防御+200$$内功防御+200, 空, 空
11002, 逐风, 2, 18, 120, 1800000, 逐风：外功防御+275$$内功防御+275, 空, 空
11003, 逐风, 3, 23, 200, 3000000, 逐风：外功防御+350$$内功防御+350, 空, 空
11004, 逐风, 4, 24, 300, 4500000, 逐风：外功防御+425$$内功防御+425, 空, 空
11005, 逐风, 5, 25, 0, 0, 逐风：外功防御+500$$内功防御+500, 空, 空
11100, 专情, 0, 0, 0, 0, 空, 空, 空
11101, 专情, 1, 14, 60, 900000, 专情：命中率+8%, 空, 空
11102, 专情, 2, 18, 120, 1800000, 专情：命中率+11%, 空, 空
11103, 专情, 3, 23, 200, 3000000, 专情：命中率+14%, 空, 空
11104, 专情, 4, 24, 300, 4500000, 专情：命中率+17%, 空, 空
11105, 专情, 5, 25, 0, 0, 专情：命中率+20%, 空, 空
11200, 屏月, 0, 0, 0, 0, 空, 空, 空
11201, 屏月, 1, 14, 60, 900000, 屏月：格挡率+8%, 空, 空
11202, 屏月, 2, 18, 120, 1800000, 屏月：格挡率+11%, 空, 空
11203, 屏月, 3, 23, 200, 3000000, 屏月：格挡率+14%, 空, 空
11204, 屏月, 4, 24, 300, 4500000, 屏月：格挡率+17%, 空, 空
11205, 屏月, 5, 25, 0, 0, 屏月：格挡率+20%, 空, 空
100, , 0, 0, 0, 0, 空, 空, 空
101, 精纯冶玲珑·壹, 1, 0, 0, 0, 空, 空, 空
200, , 0, 0, 0, 0, 空, 空, 空
201, 劫火冶玲珑·壹, 1, 0, 0, 0, 空, 空, 空
300, , 0, 0, 0, 0, 空, 空, 空
301, 玄天冶玲珑·壹, 1, 0, 0, 0, 空, 空, 空
400, , 0, 0, 0, 0, 空, 空, 空
401, 精纯冶玲珑·贰, 1, 0, 0, 0, 空, 空, 空
500, , 0, 0, 0, 0, 空, 空, 空
501, 劫火冶玲珑·贰, 1, 0, 0, 0, 空, 空, 空
600, , 0, 0, 0, 0, 空, 空, 空
601, 玄天冶玲珑·贰, 1, 0, 0, 0, 空, 空, 空
11300, 苍龙出水·劲松, 0, 0, 0, 0, 空, 空, 空
11301, 苍龙出水·劲松, 1, 0, 40, 1200000, 空, 苍龙出水宽度增加0.2米, 空
11302, 苍龙出水·劲松, 2, 21, 60, 1800000, 空, 苍龙出水宽度增加0.4米, 空
11303, 苍龙出水·劲松, 3, 24, 80, 2400000, 空, 苍龙出水宽度增加0.6米, 空
11304, 苍龙出水·劲松, 4, 25, 120, 3600000, 空, 苍龙出水宽度增加0.8米, 空
11305, 苍龙出水·劲松, 5, 33, 0, 0, 空, 苍龙出水宽度增加1米, 改变太白招式《苍龙出水》表现
11400, 回风落雁·劲松, 0, 0, 0, 0, 空, 空, 空
11401, 回风落雁·劲松, 1, 18, 40, 1200000, 空, 回风落雁范围提升0.2米, 空
11402, 回风落雁·劲松, 2, 21, 60, 1800000, 空, 回风落雁范围提升0.4米, 空
11403, 回风落雁·劲松, 3, 24, 80, 2400000, 空, 回风落雁范围提升0.6米, 空
11404, 回风落雁·劲松, 4, 25, 120, 3600000, 空, 回风落雁范围提升0.8米, 空
11405, 回风落雁·劲松, 5, 33, 0, 0, 空, 回风落雁范围提升1米, 改变太白招式《回风落雁》表现
11500, 断龙枪·劲松, 0, 0, 0, 0, 空, 空, 空
11501, 断龙枪·劲松, 1, 18, 40, 1200000, 空, 断龙枪攻击范围提高0.2米, 空
11502, 断龙枪·劲松, 2, 21, 60, 1800000, 空, 断龙枪攻击范围提高0.4米, 空
11503, 断龙枪·劲松, 3, 24, 80, 2400000, 空, 断龙枪攻击范围提高0.6米, 空
11504, 断龙枪·劲松, 4, 25, 120, 3600000, 空, 断龙枪攻击范围提高0.8米, 空
11505, 断龙枪·劲松, 5, 33, 0, 0, 空, 断龙枪攻击范围提高1米, 改变神威招式《断龙枪》表现
11600, 贯甲箭·龙泽, 0, 0, 0, 0, 空, 空, 空
11601, 贯甲箭·龙泽, 1, 18, 40, 1200000, 空, 贯甲箭破甲持续时间延长0.4秒, 空
11602, 贯甲箭·龙泽, 2, 21, 60, 1800000, 空, 贯甲箭破甲持续时间延长0.8秒, 空
11603, 贯甲箭·龙泽, 3, 24, 80, 2400000, 空, 贯甲箭破甲持续时间延长1.2秒, 空
11604, 贯甲箭·龙泽, 4, 25, 120, 3600000, 空, 贯甲箭破甲持续时间延长1.6秒, 空
11605, 贯甲箭·龙泽, 5, 33, 0, 0, 空, 贯甲箭破甲持续时间延长2秒, 改变神威招式《贯甲箭》表现
11700, 虎尾脚·长辛, 0, 0, 0, 0, 空, 空, 空
11701, 虎尾脚·长辛, 1, 18, 40, 1200000, 空, 虎尾脚提高会心率2%, 空
11702, 虎尾脚·长辛, 2, 21, 60, 1800000, 空, 虎尾脚提高会心率4%, 空
11703, 虎尾脚·长辛, 3, 24, 80, 2400000, 空, 虎尾脚提高会心率6%, 空
11704, 虎尾脚·长辛, 4, 25, 120, 3600000, 空, 虎尾脚提高会心率8%, 空
11705, 虎尾脚·长辛, 5, 33, 0, 0, 空, 虎尾脚提高会心率10%, 改变丐帮招式《虎尾脚》表现
11800, 倒提壶·观复, 0, 0, 0, 0, 空, 空, 空
11801, 倒提壶·观复, 1, 18, 40, 1200000, 空, 倒提壶后恢复力5点。, 空
11802, 倒提壶·观复, 2, 21, 60, 1800000, 空, 倒提壶后恢复力10点。, 空
11803, 倒提壶·观复, 3, 24, 80, 2400000, 空, 倒提壶后恢复力15点。, 空
11804, 倒提壶·观复, 4, 25, 120, 3600000, 空, 倒提壶后恢复力20点。, 空
11805, 倒提壶·观复, 5, 33, 0, 0, 空, 倒提壶后恢复力25点。, 改变丐帮招式《倒提壶》表现
11900, 乳燕归巢·怀柔, 0, 0, 0, 0, 空, 空, 空
11901, 乳燕归巢·怀柔, 1, 18, 40, 1200000, 空, 乳燕归巢强化准备时间0.1秒，会心几率提高1%, 空
11902, 乳燕归巢·怀柔, 2, 21, 60, 1800000, 空, 乳燕归巢强化准备时间0.2秒，会心几率提高2%, 空
11903, 乳燕归巢·怀柔, 3, 24, 80, 2400000, 空, 乳燕归巢强化准备时间0.3秒，会心几率提高3%, 空
11904, 乳燕归巢·怀柔, 4, 25, 120, 3600000, 空, 乳燕归巢强化准备时间0.4秒，会心几率提高4%, 空
11905, 乳燕归巢·怀柔, 5, 33, 0, 0, 空, 乳燕归巢强化准备时间0.5秒，会心几率提高5%, 改变唐门招式《乳燕归巢》表现
12000, 千魂裂·长辛, 0, 0, 0, 0, 空, 空, 空
12001, 千魂裂·长辛, 1, 18, 40, 1200000, 空, 千魂裂机巧消耗降低1点, 空
12002, 千魂裂·长辛, 2, 21, 60, 1800000, 空, 千魂裂机巧消耗降低2点, 空
12003, 千魂裂·长辛, 3, 24, 80, 2400000, 空, 千魂裂机巧消耗降低3点, 空
12004, 千魂裂·长辛, 4, 25, 120, 3600000, 空, 千魂裂机巧消耗降低4点, 空
12005, 千魂裂·长辛, 5, 33, 0, 0, 空, 千魂裂机巧消耗降低5点, 改变唐门招式《千魂裂》表现
12100, 驱影·长辛, 0, 0, 0, 0, 空, 空, 空
12101, 驱影·长辛, 1, 18, 40, 1200000, 空, 驱影伤害增加0.3%, 空
12102, 驱影·长辛, 2, 21, 60, 1800000, 空, 驱影伤害增加0.6%, 空
12103, 驱影·长辛, 3, 24, 80, 2400000, 空, 驱影伤害增加0.9%, 空
12104, 驱影·长辛, 4, 25, 120, 3600000, 空, 驱影伤害增加0.12%, 空
12105, 驱影·长辛, 5, 33, 0, 0, 空, 驱影伤害增加0.15%, 改变真武招式《驱影》表现
12200, 芳华一瞬·长辛, 0, 0, 0, 0, 空, 空, 空
12201, 芳华一瞬·长辛, 1, 18, 40, 1200000, 空, 芳华一瞬伤害增加1%, 空
12202, 芳华一瞬·长辛, 2, 21, 60, 1800000, 空, 芳华一瞬伤害增加2%, 空
12203, 芳华一瞬·长辛, 3, 24, 80, 2400000, 空, 芳华一瞬伤害增加3%, 空
12204, 芳华一瞬·长辛, 4, 25, 120, 3600000, 空, 芳华一瞬伤害增加4%, 空
12205, 芳华一瞬·长辛, 5, 33, 0, 0, 空, 芳华一瞬伤害增加5%, 改变天香招式《芳华一瞬》表现
12300, 伞舞旋·劲松, 0, 0, 0, 0, 空, 空, 空
12301, 伞舞旋·劲松, 1, 18, 40, 1200000, 空, 伞舞旋技能宽度增加0.2米, 空
12302, 伞舞旋·劲松, 2, 21, 60, 1800000, 空, 伞舞旋技能宽度增加0.4米, 空
12303, 伞舞旋·劲松, 3, 24, 80, 2400000, 空, 伞舞旋技能宽度增加0.6米, 空
12304, 伞舞旋·劲松, 4, 25, 120, 3600000, 空, 伞舞旋技能宽度增加0.8米, 空
12305, 伞舞旋·劲松, 5, 33, 0, 0, 空, 伞舞旋技能宽度增加1米, 改变天香招式《伞舞旋》表现
12400, 索命诀·怀柔, 0, 0, 0, 0, 空, 空, 空
12401, 索命诀·怀柔, 1, 18, 40, 1200000, 空, 索命诀CD降低0.4秒, 空
12402, 索命诀·怀柔, 2, 21, 60, 1800000, 空, 索命诀CD降低0.8秒, 空
12403, 索命诀·怀柔, 3, 24, 80, 2400000, 空, 索命诀CD降低1.2秒, 空
12404, 索命诀·怀柔, 4, 25, 120, 3600000, 空, 索命诀CD降低1.6秒, 空
12405, 索命诀·怀柔, 5, 33, 0, 0, 空, 索命诀CD降低2秒, 改变五毒招式《索命诀》表现
12500, 灵蛇刺骨·观复, 0, 0, 0, 0, 空, 空, 空
12501, 灵蛇刺骨·观复, 1, 18, 40, 1200000, 空, 灵蛇刺骨回复1%蜃气, 空
12502, 灵蛇刺骨·观复, 2, 21, 60, 1800000, 空, 灵蛇刺骨回复2%蜃气, 空
12503, 灵蛇刺骨·观复, 3, 24, 80, 2400000, 空, 灵蛇刺骨回复3%蜃气, 空
12504, 灵蛇刺骨·观复, 4, 25, 120, 3600000, 空, 灵蛇刺骨回复4%蜃气, 空
12505, 灵蛇刺骨·观复, 5, 33, 0, 0, 空, 灵蛇刺骨回复5%蜃气, 改变五毒招式《灵蛇刺骨》表现
2000, 苍龙出水·长辛, 0, 0, 0, 0, 空, 空, 空
2001, 苍龙出水·长辛, 1, 0, 15, 2000000, 屏月：格挡+3%, 苍龙出水伤害提高5%，命中目标后3秒内提高移动速度50%, 空
2002, 苍龙出水·长辛, 2, 1, 30, 3500000, 屏月：格挡+3.5%, 苍龙出水伤害提高9%，命中目标后3秒内提高移动速度50%, 空
2003, 苍龙出水·长辛, 3, 2, 45, 5000000, 屏月：格挡+4%, 苍龙出水伤害提高13%，命中目标后3秒内提高移动速度50%, 空
2004, 苍龙出水·长辛, 4, 3, 2, 7500000, 屏月：格挡+4.5%, 苍龙出水伤害提高17%，命中目标后3秒内提高移动速度50%, 空
2005, 苍龙出水·长辛, 5, 5, 50, 10000000, 屏月：格挡+6.5%, 苍龙出水伤害提高25%，命中目标后5秒内提高移动速度50%, 空
2006, 苍龙出水·长辛, 6, 8, 100, 12500000, 屏月：格挡+7%, 苍龙出水伤害提高29%，命中目标后5秒内提高移动速度50%, 空
2007, 苍龙出水·长辛, 7, 12, 150, 15000000, 屏月：格挡+7.5%, 苍龙出水伤害提高33%，命中目标后5秒内提高移动速度50%, 空
2008, 苍龙出水·长辛, 8, 16, 2, 50000000, 屏月：格挡+8%, 苍龙出水伤害提高37%，命中目标后5秒内提高移动速度50%, 空
2009, 苍龙出水·长辛, 9, 20, 0, 0, 屏月：格挡+8%, 苍龙出水伤害提高41%，命中目标后5秒内提高移动速度50%, 改变太白招式《苍龙出水》表现
2100, 回风落雁·天罡, 0, 0, 0, 0, 空, 空, 空
2101, 回风落雁·天罡, 1, 0, 30, 3200000, 专情：命中+3%, 回风落雁施放后6秒内提高内功防御、外功防御各50点, 空
2102, 回风落雁·天罡, 2, 1, 60, 5600000, 专情：命中+3.5%, 回风落雁施放后6秒内提高内功防御、外功防御各90点, 空
2103, 回风落雁·天罡, 3, 2, 90, 8000000, 专情：命中+4%, 回风落雁施放后6秒内提高内功防御、外功防御各130点, 空
2104, 回风落雁·天罡, 4, 3, 3, 12000000, 专情：命中+4.5%, 回风落雁施放后6秒内提高内功防御、外功防御各170点, 空
2105, 回风落雁·天罡, 5, 5, 75, 16000000, 专情：命中+6.5%, 回风落雁施放后6秒内提高内功防御、外功防御各250点, 空
2106, 回风落雁·天罡, 6, 8, 150, 20000000, 专情：命中+7%, 回风落雁施放后6秒内提高内功防御、外功防御各290点, 空
2107, 回风落雁·天罡, 7, 12, 225, 24000000, 专情：命中+7.5%, 回风落雁施放后6秒内提高内功防御、外功防御各330点, 空
2108, 回风落雁·天罡, 8, 16, 3, 80000000, 专情：命中+8%, 回风落雁施放后6秒内提高内功防御、外功防御各370点, 空
2109, 回风落雁·天罡, 9, 20, 0, 0, 专情：命中+8%, 回风落雁施放后6秒内提高内功防御、外功防御各410点, 改变太白招式《回风落雁》表现
2200, 雨落云飞·地煞, 0, 0, 0, 0, 空, 空, 空
2201, 雨落云飞·地煞, 1, 0, 90, 3850000, 长鸿：韧劲+2%, 雨落云飞伤害提升1%, 空
2202, 雨落云飞·地煞, 2, 1, 180, 6700000, 长鸿：韧劲+2.5%, 雨落云飞伤害提升1.5%, 空
2203, 雨落云飞·地煞, 3, 2, 270, 9600000, 长鸿：韧劲+3%, 雨落云飞伤害提升2%, 空
2204, 雨落云飞·地煞, 4, 3, 4, 14400000, 长鸿：韧劲+3.5%, 雨落云飞伤害提升2.5%, 空
2205, 雨落云飞·地煞, 5, 5, 95, 19200000, 长鸿：韧劲+4%, 雨落云飞伤害提升3%$$命中目标后降低目标命中3%持续4秒, 空
2206, 雨落云飞·地煞, 6, 8, 190, 24000000, 长鸿：韧劲+4.5%, 雨落云飞伤害提升3.5%$$命中目标后降低目标命中6%持续4秒, 空
2207, 雨落云飞·地煞, 7, 12, 280, 28800000, 长鸿：韧劲+5%, 雨落云飞伤害提升4%$$命中目标后降低目标命中9%持续4秒, 空
2208, 雨落云飞·地煞, 8, 16, 4, 96000000, 长鸿：韧劲+5.5%, 雨落云飞伤害提升4.5%$$命中目标后降低目标命中12%持续4秒, 空
2209, 雨落云飞·地煞, 9, 20, 0, 0, 长鸿：韧劲+6%, 雨落云飞伤害提升5%$$命中目标后降低目标命中15%持续4秒, 改变太白招式《雨落云飞》表现
2300, 飞燕逐月·长辛, 0, 0, 0, 0, 空, 空, 空
2301, 飞燕逐月·长辛, 1, 0, 115, 4600000, 犀照：会心率+3%, 飞燕逐月释放完成时额外附加4点定力伤害, 空
2302, 飞燕逐月·长辛, 2, 1, 225, 8050000, 犀照：会心率+3.5%, 飞燕逐月释放完成时额外附加5点定力伤害, 空
2303, 飞燕逐月·长辛, 3, 2, 340, 11500000, 犀照：会心率+4%, 飞燕逐月释放完成时额外附加6点定力伤害, 空
2304, 飞燕逐月·长辛, 4, 3, 5, 17300000, 犀照：会心率+4.5%, 飞燕逐月释放完成时额外附加7点定力伤害, 空
2305, 飞燕逐月·长辛, 5, 5, 120, 23050000, 犀照：会心率+5%, 飞燕逐月伤害增加2%，飞燕逐月释放完成时额外附加8点定力伤害, 空
2306, 飞燕逐月·长辛, 6, 8, 240, 28800000, 犀照：会心率+5.5%, 飞燕逐月伤害增加4%，飞燕逐月释放完成时额外附加9点定力伤害, 空
2307, 飞燕逐月·长辛, 7, 12, 350, 34550000, 犀照：会心率+6%, 飞燕逐月伤害增加6%，飞燕逐月释放完成时额外附加10点定力伤害, 空
2308, 飞燕逐月·长辛, 8, 16, 5, 115200000, 犀照：会心率+6.5%, 飞燕逐月伤害增加8%，飞燕逐月释放完成时额外附加11点定力伤害, 空
2309, 飞燕逐月·长辛, 9, 20, 0, 0, 犀照：会心率+7%, 飞燕逐月伤害增加10%，飞燕逐月释放完成时额外附加12点定力伤害, 改变太白招式《飞燕逐月》表现
2400, 断龙枪·劲松, 0, 0, 0, 0, 空, 空, 空
2401, 断龙枪·劲松, 1, 0, 15, 2000000, 屏月：格挡+3%, 断龙枪直接施放不用于追加时，定力伤害提升5%，范围增加0.1米, 空
2402, 断龙枪·劲松, 2, 1, 30, 3500000, 屏月：格挡+3.5%, 断龙枪直接施放不用于追加时，定力伤害提升9%，范围增加0.2米, 空
2403, 断龙枪·劲松, 3, 2, 45, 5000000, 屏月：格挡+4%, 断龙枪直接施放不用于追加时，定力伤害提升13%，范围增加0.3米, 空
