shenbingId,n41,chapter1,chapter2,chapter3,chapter4,n42,audio1,audio2,audio3,audio4,n43,author1,author2,author3,author4,
1, 4,       等我知道关于优昙花的种种彻彻底底是一个骗局的时候，事情已经到了无法收拾的地步。我千辛万苦将花抢来，还未送给公子，却先接待了百晓生。如今回头看看，又觉庆幸，又觉后悔，更多是觉得，不过造化弄人。<br>      优昙花，一甲子一开，江湖盛名的驻颜之宝，可使人恢复美貌，白发变黑。新月山庄的花子缎和蓝衣羽，专为我搜寻天下至宝，她们告诉我说优昙花会在近期盛开，地方就在杭州。,       我在青龙会没有朋友。我和明月心相互避而不见；萧四无我见之可憎；孔雀眼中根本看不到活人。新月山庄是我的下属，却也是天香的对头，她们规矩严苛，行事变态，我并不喜欢，但也无意去改变什么。<br>      这么多年，在青龙会，我只跟一个人讲话，也只听一个人的号令。但百晓生或许是个意外，他是最负盛名的智者，任何人见了他，总也能与之亲近，或是求他解决自己内心的疑惑。<br>      我取优昙花的时候，见到了百晓生的女弟子曲无忆。她本可以继续与我纠缠下去，却似乎是有意让我几分。或许是为了保护慕情？……我思来想去，觉得不甚合理。所以百晓生来求见，我便将此事全盘相告，想问问他的意见。,       百晓生看着那朵我暂植在盆里的花，似乎略有些惊讶。我忽然灵机一动，想明白了慕情想要此花，怎会真是为了钟不忘的少白头。百晓生也并没有隐瞒，他说，“优昙花真正的功效乃是解毒。它并不能使人白发变黑，青春常驻。但世人无不想要留驻青春，故而当年设局之人故意编造了这个功效，目的是让人们自相残杀，谁也获取不了此花，那么他仇人的毒，便永远无解了。”江湖上有太多谎言，我并未觉得太过失望。或许我内心深处也在想，真将花送与了他，又能怎样？<br>      既然百晓生要它，我便把花留给了他。至于它能解什么毒，我根本没问。江湖中的恩恩怨怨，什么人中毒，什么人解毒，什么人用毒控制了什么人，都与我没有一丝关系。,       后来有一次薛无泪在看书的时候专门叫我，他指着一张画说：“云仙子，这便是优昙花。”我扫了一眼，那花画得有七八分相似。薛无泪又道，“此花被传能令人白发变黑，不过是因为它是冥河水的解药罢了。”<br>      ……冥河水？我恍然大悟，一时竟忍不住笑了起来。原来，当初我若真将它献给公子羽，倒是的确可以对症下药，令他白发变黑。但我笑的是，即使是我真解了他的毒，对于现在所发生的一切，又能有什么改变？<br>      “你笑起来真美。”薛无泪在灯下凝视我的脸庞。我不知道他是真心还是假意，但我心中却隐约知道，我的前路上，只剩下一片黑夜茫茫。, 4, voice_jiaziyoutanhua_01, voice_jiaziyoutanhua_02, voice_jiaziyoutanhua_03, voice_jiaziyoutanhua_04, 4, 讲述人：白云轩  配音：唐夙凌, 讲述人：白云轩  配音：唐夙凌, 讲述人：白云轩  配音：唐夙凌, 讲述人：白云轩  配音：唐夙凌, 
2, 4,       这个武林中有许多左撇子。很多人说左撇子聪明，实际上却只是因为，左撇子必须要学会使用右手，而右撇子却不必去练习左手。许多左手剑客也是如此：左手是招牌，右手才是底牌。<br>      你要如何对付一个左手持剑的人？他所有的一切招式，与你而言，都是反向。你迎上去，用足力道；偏偏对方的兵刃却如你的镜像一般，若不改变力道与方向，便是玉石俱焚；若改变你的招式去抵挡，那，便慢了。<br>      而高手对决，又岂容慢这一瞬间？更何况，纵使这一招不能奏效，你也已本能松懈，失去提防——剑客便从右手侧，出剑。,       对付左手剑法，其实不难。若是郭嵩阳，只要预判到对方是哪只手起势，便能随机应变，更改自己的招式与路线，与之对敌。若是上官金虹，那么任凭左手右手均是无用，因为他一定会玉石俱焚地打下去，迫使对方收招。<br>      若是小李飞刀呢？——在对方用任何一只手拔剑之前，他就已经输了。因为，没有人，比小李飞刀更快。<br>      而在这个江湖里，输，便等于死。我师尊荆无命，原本有一个命运，便是在上官金虹死后，去找小李飞刀复仇。他知道自己不可能比小李飞刀更快，但他至少可以选择赴死。,       后来师尊没有死，更还放下了仇恨——叶开告诉他，世上既有杀人的飞刀，更有救人的飞刀。师尊对我说，他若是十七岁时听到这段话，一定会当面嘲笑叶开的愚蠢和软弱。但彼时他已经四十七岁，以及，他还收了一个弟子——就是我。<br>      当时我重伤垂危，在师尊的照料下撑了过来。又过了一些年，我重建了神刀堂，把叶开傅红雪他们找了回来，又结交了一些身份奇怪的人。大家住在一块儿，也算是有了一个家。师尊把他的左手剑挂在了阁楼上，一心烧起了琉璃。他说，烧琉璃时迸发的光芒，极脆，极美，和从前他在江湖上和人对战时的剑光，极其相似。,       很多年后，武林中人已经不记得什么左手剑荆无命，只知道神刀有个烧琉璃的大师。有一次上官小仙来访，她想问荆无命是不是上官金虹的私生子。这个谣言已经流传了很久，而上官小仙是上官金虹唯一的女儿。<br>      当时她要了那把剑来看，边看边假装随口提起般说，“记得家父用左手写字，而他的双环左右手皆都可用。”家师就翻了个白眼，答她，“我记得你用右手吃饭，对了我们后山有只猴子，也用右手吃饭。”<br>      上官小仙离开之后，家师赶着去看他的琉璃瓶，随手把剑递了给我——那剑锋常年不饮血，已是寒芒寡淡；但触手之处却有淡淡温凉，氤氲而开。, 4, voice_jiazizuoshoujian_01, voice_jiazizuoshoujian_02, voice_jiazizuoshoujian_03, voice_jiazizuoshoujian_04, 4, 讲述人：路小佳　配音：翟巍, 讲述人：路小佳　配音：翟巍, 讲述人：路小佳　配音：翟巍, 讲述人：路小佳　配音：翟巍, 
3, 4,       天下间有四种圆形的玉：玉多而孔小，叫做玉璧；玉少而孔大，叫做玉瑷；玉与孔等宽，叫做玉环。义母说，此三者都可为信物，痴男怨女，相互赠送，以诉衷肠。<br>      但生身父母留给我的信物，却是圆玉之上有一个小小的缺口，名为玉玦。义母说，玉玦中蕴含着盛者必衰、月圆则亏的道理。但我偷偷查了书，发现大部分的时候，玉玦的用途，是用来表示拒绝、决绝、或者永世的相离。\n,       我义母叫苏樱，我随她姓。义母说，我的亲生母亲也姓苏。我的一生只纠结了两件事，其一，追查自己的身世来历。其二，我的师兄子桑不寿。<br>      义母小时候曾玩笑说，要我嫁予师兄为妻。后来师兄很认真地告诉我，他将我当做妹妹看待，愿意一生照顾我，对我好，但对我并无男女之情。后来知道他和他的女弟子楚天璇两情相悦之后，我便离开了移花宫，去专心追寻自己的身世。\n,       我浪迹天涯，四处走访，见到一些有趣的人便将他们画下来，最终创立了天衣阁。天衣阁是个卖衣服的店家，为我带来许多名利与地位。许多人争相与我结交，还邀我为他们制衣。<br>      有一次，我偶遇到楚天璇。她已经不是当年那个怯生生的小女孩了。她赠我一块玉璧，与我随身玉玦形制相同，却是无缺无损，温润异常。我接过来，用剪子随手剪了个缺口出来，还于了她。\n,       后来我终与他们夫妇解开了心结。在东海小住时，我要楚天璇把那块我剪断的玉拿了出来，用丝线与我自己的玉系在一起。两块玉在一起，称之为珏。珏玦同音，意思却不相同。双玉为珏，乃是琴瑟和鸣之意。后来我把这块玉玦取名为“心王”，作为了天衣阁的信物。<br>      我也有个女弟子，叫朱小月。我同她说，若有朝一日，她找着了一生一世一双之人，我就将心王珏和天衣阁一起送给了她。但她却不肯——也罢，年轻人，或许自有年轻人所追求之物吧。, 4, voice_jiazixinwangjue_01, voice_jiazixinwangjue_02, voice_jiazixinwangjue_03, voice_jiazixinwangjue_04, 4, 讲述人：苏夜来　配音：张安琪, 讲述人：苏夜来　配音：张安琪, 讲述人：苏夜来　配音：张安琪, 讲述人：苏夜来　配音：张安琪, 
4, 4,       斜阳暮草长安道，红尘紫陌对离人。何需万般空思忆，不如归去睹倾城。<br>      那年我闯天香谷求亲之时，东方玉开了三个条件：其一，为谷中六十四种花草各题五绝一首；其二，以天香谷十二时辰为题，各作短调一阙；其三，作生死词一篇，叙咏平生之志。那时我满心思慕，下笔如神，轻易就写成了这七十七首诗词。<br>      七十七首诗词写完之后，梁知音召我入谷，倾谈半个时辰，之后梁师尊首肯将东方玉嫁给了我。我身无长物，以随身毛笔为聘礼，而东方玉做了一块徽墨回赠。婚姻之约，至此始成。\n,       拟把疏狂图一醉。对酒当歌还无味。衣带渐宽终不悔。为伊消得人憔悴。<br>      我娘子东方玉的乳名，叫做虫娘。我叫她虫儿，常常将她写入诗词之中，有好事者传扬说虫娘是个淮扬名妓云云，娘子听了，也不生气。后来她四十岁时重病垂危之时，问我，“你可有听到秋虫儿的叫声？我若死了，你听着虫儿，便如见我一般。”娘子心狠，留我孑然一身。我想为她书写悼词，写下“寒蝉凄切”四字已是下笔颤抖，无能为继。前后耗费三载，才勉强填完一首“雨霖铃”。\n,       今宵酒醒知何处？多情自古伤离别。暮霭沉沉楚天阔，良辰好景去经年。<br>      有一日我从不知哪一处秦楼楚馆里醒来，眼前见到一抹微红，以为娘子回来，唤了一声，才发现是天香的少掌门林弃霜姑娘来探望我。林掌门赠了我醒酒丹，又问我，是否记得当年梁知音密谈时所提之问？<br>      记得当年梁师尊问我：若夫妇二人间必有一者要先离世，愿何者先，何者后？我少年意气，毫无犹豫地答她：自然是娘子先，柳某铮铮男儿，自可独留世间，承受别离之苦——如今方知，这阴阳两隔的别离之苦，真正难熬。\n,       伫倚危楼风细细，春愁黯黯生天际。草色烟光残照里，无言谁会凭阑意。<br>      林掌门说，虫娘幼时曾染塞外奇毒，得梁师尊尽力调理，方保住性命。当年梁知音曾预测说，虫娘的寿限当在三十岁上下。如今她四十而逝，已是白白偷得了十年生趣。林弃霜对我道谢，谢我与她师姐东方玉琴瑟和鸣，令她心无忧虑，得以长寿。<br>      之后，我与曲盟主联手，假意浪迹欢场，实则收集情报，终查明虫娘所染之毒与黑水靺鞨完颜部有关。而那，便又是另一个故事了。, 4, voice_jiazijiarenbi_01, voice_jiazijiarenbi_02, voice_jiazijiarenbi_03, voice_jiazijiarenbi_04, 4, 讲述人：柳永　配音：谢添天, 讲述人：柳永　配音：谢添天, 讲述人：柳永　配音：谢添天, 讲述人：柳永　配音：谢添天, 
5, 4,       江湖上流传了一个故事，说是沈浪出海时，等熊猫儿等了九日。九日之后，便是出海季风的最后一日。王怜花问沈浪，还等不等？沈浪答，不等了。王怜花又问，要不要安排人手，查一查那只猫儿去了哪里，可有危险？沈浪笑道，若他有事，九日之内，早有了消息。如今没有消息，一定是他兴之所至，去更想去的地方了。<br>      后来我师尊江匡有幸偶遇熊猫儿前辈，问起此事。熊前辈大笑道，他早就知道，王怜花一定会问，而沈浪一定不会问。这便是王怜花是王怜花，而沈浪是沈浪的道理。\n,       熊猫儿前辈本与我帮大有渊源，师尊说，若是他在，他便是丐帮帮主，断然轮不到旁人。但熊猫儿前辈一生都率性而为，正犹如沈浪前辈一生潇洒，王怜花前辈一生聪明一般。他们几人一同出海也好，不一同出海也罢，都也是一生的朋友，绝不会因为天各一方，就有所疏远。<br>      据说当年，王怜花把他们在东海珍藏的酒送予熊猫儿时，絮絮叨叨了许久那酒的名字，含义，价值……那酒专醉不醉之人，而熊猫儿前辈就是当世最知名的不醉之人，王怜花前辈必是想验证一下此酒的功效。\n,       但熊猫儿前辈只是将那酒装入了酒坛，尔后正襟危坐，说了二字：“不喝”。<br>      据说当时王怜花前辈用了十八九种法子诱他去喝那酒，结果熊猫儿却说，你若真知道了这酒能不能令我醉，那便没意思了。但如今我总是不喝，你就总是有个念想；这世间便总是对你有所悬念，你对这世间便总是有所遐想。这有何不好？\n,       后来有一次熊猫儿前辈要去某个所在，颇有些凶险，他临走之前便将自己的酒坛赠予了我的师尊。<br>      那用久了的瓷坛上有许多磨损的痕迹；系在酒坛上的红绡也已旧得黯淡；瓷坛里名为心上秋的陈酿，不知为何闻起来就像是白水。但师尊却把那个酒坛珍之重之地藏了起来。他说，那不是一坛酒，而是属于那几位前辈的，那个光风霁月的往日江湖。, 4, voice_jiazizunqianjiu_01, voice_jiazizunqianjiu_02, voice_jiazizunqianjiu_03, voice_jiazizunqianjiu_04, 4, 讲述人：江山　配音：刘垚, 讲述人：江山　配音：刘垚, 讲述人：江山　配音：刘垚, 讲述人：江山　配音：刘垚, 
6, 4,       寒江城里有许多人。大部分人，江湖上无人知晓他们的名字，也无人知晓他们的身份。他们如一套巨大机械中小小的榫头一般，按部就班，做着代代相传的事情。<br>      那一年，师尊引了一个六岁的小女孩来见我。他说，从此以后，这个小女孩的世世代代，都只负责一件事，便是养护我的金环。<br>      就如同寒江城中有人世世代代喂养信鸽，有人世世代代抄录密信，有人世世代代保管锁匙一般。这是一个巨大而隐秘的系统，以我之力，也只可以令它运转，却不能令它停止。\n,       那个为我养护金环的小姑娘叫张萦。她慢慢长大，非常用心地为我养护金环，还特意给我做了金环的绶带。我就择空教她一些武功，又与她一起研究出将绶带亦作为武器对敌的方法。<br>      后来我派了许多人去寻找百晓生的踪迹，有的回来了，有的没有。张萦也失踪数月，之后有人说，在万雪窟见到了她，已经变成了药人。<br>      我有一个属下来找我，要为她收尸。我自诩心思细密，竟没有看出他们俩竟私定下了终身。\n,       后来张萦的未婚夫婿也死于了公子羽一战之中。他很擅长隐匿气息踪迹，原本我以为他是不会死的。但却终究还是死了。<br>      后来我又有了新的侍女，为我保管金环。这一次我与那女娃娃定下了师徒的名分，我将一生所学倾力教授予她，希望她可以自保，去应付那必须要应付的战斗。<br>      再后来，又有新的战斗。我的部下一直有人死去，也一直有人加入。最惨烈的一次，八荒弟子如飞蛾扑火一般，去暂时地阻挡了契丹南侵的步伐。\n,       但我们都知道，这世上所有的太平都只是一时。新的战斗，还会再来。<br>      我将金环赠给了我的弟子。那时候我的脏腑已经被经年的征战所侵蚀，她却年轻力盛，天赋极佳。金环在她手中，比在我手中能展现出更强的威力。<br>      她拿着那对金环，极认真地对我说，师尊，从此以后，就由我来保护你。——已经很久没有人对我说要保护我了，我看着她清澈的眼睛，笑着说，好。, 4, voice_jiazixinyishuanghuan_01, voice_jiazixinyishuanghuan_02, voice_jiazixinyishuanghuan_03, voice_jiazixinyishuanghuan_04, 4, 讲述人：曲无忆 配音：黄笑嬿, 讲述人：曲无忆 配音：黄笑嬿, 讲述人：曲无忆 配音：黄笑嬿, 讲述人：曲无忆 配音：黄笑嬿, 
